Date,HRMM  Sec,Latitud,Longitud,Depth,Mc,Ml   Mb
2019 0519,0050 33.2,18.553,-70.615,13,2.9,1.6
2019 0519,0126 36.4,19.091,-69.544,22.8,2.9,
2019 0519,0311 17.3,18.7,-69.457,80.2,3.1,2.6
2019 0519,0511 40.1,19.06,-69.559,12.1,2.8,1.9
2019 0519,0602  3.4,17.899,-68.236,190.5,3.3,2.5
2019 0519,1000 47.5,18.796,-70.653,15,3.3,2.8
2019 0519,1310 26.2,18.546,-70.368,23,2.8,1.7
2019 0519,1633 42.2,18.955,-71.812,19.6,2.9,1.8
2019 0519,2127 40.3,18.164,-72,28.7,2.8,1.7
2019 0519,2226  1.8,18.628,-69.102,106.7,2.9,1.9
2019 0519,2248 59.4,18.945,-70.78,0,2.4,1.9
2019 0519,2348 20.3,18.346,-68.57,152.7,3.2,2
2019 0520,0334 58.0,18.352,-68.742,164.8,2.9,2.5
2019 0520,0745 43.8,18.853,-70.38,113.2,2.7,2
2019 0520,0839 21.7,18.16,-67.399,23.1,2.8,2
2019 0520,1019 41.8,19.742,-70.397,12,3.3,3
2019 0520,1312  5.9,18.581,-68.252,79.7,3,2.1
2019 0520,1401 29.5,20.049,-70.709,12.1,3.3,2.4
2019 0520,1537 19.1,20.022,-70.553,31,3.4,2.3
2019 0520,2350 16.5,20.137,-70.582,31,3.4,2.5
2019 0521,0002 39.9,18.498,-70.442,4.3,2.8,1.4
2019 0521,0238  7.6,18.568,-70.592,12.1,2.7,1.5
2019 0521,0252 49.6,18.649,-70.331,23.1,2.5,1.4
2019 0521,0342 43.5,18.711,-70.388,28.9,2.6,1.5
2019 0521,0419 16.4,18.776,-70.377,100.8,2.8,2.1
2019 0521,0700 46.6,18.28,-68.464,119.8,3.2,2.2
2019 0521,1943 45.1,19.161,-69.189,12.1,3.2,2.1
2019 0521,2106  0.3,19.175,-68.389,23,3.3,2.1
2019 0521,2145  8.8,20.22,-70.911,2.9,3.3,2.1
2019 0522,0152  9.7,18.52,-70.652,0,2.7,1.5
2019 0522,0436 32.0,18.563,-70.417,23.1,2.6,1.5
2019 0522,0826 39.8,19.152,-71.483,71,2.8,2
2019 0522,0859 52.0,18.873,-70.337,102.6,2.8,1.9
2019 0522,1323 40.5,18.578,-68.905,108.4,3,2.6
2019 0522,1532 39.3,18.64,-68.418,15,2.8,2.3
2019 0522,1615 23.6,18.617,-70.936,24.6,2.3,1.8
2019 0522,2307 49.4,18.053,-69.14,129,3.1,2.2
2019 0522,2352 33.0,19.049,-69.181,23,2.6,1.5
2019 0523,0325 15.6,19.082,-68.126,28.1,3.4,2.1
2019 0523,0804 24.6,20.001,-70.54,29.8,3.3,2
2019 0523,1012 33.9,20.142,-70.693,22.6,3.4,2.4
2019 0523,1012  0.0,,,,,
2019 0523,1022  3.4,20.046,-70.499,15,3,2.1
2019 0523,1244  8.9,17.651,-72.254,31,3.5,2.8
2019 0523,1430  3.1,19.277,-68.046,136.5,3.3,2.1
2019 0523,1805 45.4,18.161,-67.201,24.4,2.5,1.8
2019 0523,1810 14.7,18.159,-67.163,25.1,2.6,1.4
2019 0524,0012 32.8,20.164,-70.736,21.8,3.1,2.2
2019 0524,0026 13.2,18.375,-72.312,12.7,3,2
2019 0524,0146 38.9,18.772,-67.993,22.9,3.1,1.7
2019 0524,1251 50.8,17.802,-68.524,23,3.6,2.6
2019 0524,1336 47.9,20.12,-70.784,136.3,3.6,2.8
2019 0524,1709 57.4,18.983,-70.151,3,2.8,1.9
2019 0524,1740 28.5,19.092,-68.759,12.2,3.3,2.7
2019 0524,2035 18.6,18.631,-71.364,12.4,3.1,1.9
2019 0525,0355 13.1,17.891,-71.804,22.9,2.8,2.5
2019 0525,0902 49.9,19.161,-68.637,29.1,2.5,1.6
2019 0525,1055 53.6,17.975,-68.04,74.9,3.1,2
2019 0525,1414 44.0,19.367,-65.171,15,3.5,2.8
2019 0525,1754 59.6,19.784,-75.532,31,2.9,2.4
2019 0525,2237 41.8,18.941,-70.441,17.2,2.8,2.5
2019 0526,0256 42.5,18.821,-69.785,72.8,3,1.8
2019 0526,0351 29.2,19.561,-70.39,30.8,3.7,4.3
2019 0526,0437 36.9,19.786,-70.074,15,3.2,1.9
2019 0526,0545 12.0,18.088,-67.8,43,3,1.7
2019 0526,0730 52.2,19.073,-69.465,32.3,3,2.2
2019 0526,1645 26.8,19.258,-67.885,19.8,3.4,1.9
2019 0527,0157 28.3,17.62,-68.82,131.5,3.4,2.4
2019 0527,0410 39.2,18.523,-69.034,143,3.3,2.4
2019 0527,0736 41.0,18.315,-68.965,115.1,3.5,2.3
2019 0527,0813  6.8,19.243,-69.699,17.3,2.9,1.5
2019 0527,0913  4.4,19.714,-71.56,18.5,3,2.3
2019 0527,0914 49.5,19.702,-71.56,13.5,3.3,2.6
2019 0527,0922 56.9,19.695,-71.596,15,3.1,2
2019 0527,0953 32.7,19.089,-68.402,11.7,3.4,2
2019 0527,1146  5.7,18.523,-71.816,28.5,2.8,1.9
2019 0527,1434 53.6,19.531,-71.707,73.5,2.6,1.9
2019 0527,1541 10.4,18.709,-69.951,31,2.7,2.2
2019 0528,0644 19.2,19.148,-70.367,0.1,3.1,2.2
2019 0528,0658  7.3,18.103,-69.03,105.4,3.5,2.2
2019 0528,0959 11.8,18.774,-70.359,12.1,3.1,2.4
2019 0528,1001 25.3,18.843,-69.542,115.7,3.1,2.3
2019 0528,1451 13.1,18.339,-68.978,96.4,3.3,2.5
2019 0528,1531 29.6,18.262,-67.731,22.8,3.2,2.8
2019 0528,2317 35.0,18.299,-68.346,162.2,3.4,3.1
2019 0529,0155  9.9,19.991,-70.498,21.8,3.4,2.4
2019 0529,2148 31.2,19.55,-73.21,15,3.6,2.4
2019 0529,2213 36.8,20.198,-70.848,12.1,3.3,2.1
2019 0530,0106 19.8,18.535,-68.273,119.3,3.1,2.3
2019 0530,0322 59.9,18.873,-70.331,90,2.9,2.2
2019 0530,1114 32.0,17.474,-71.595,37.1,3.3,2.1
2019 0530,1301 11.5,19.158,-69.228,18.4,3.5,3.2
2019 0530,13 0  0.0,,,,,
2019 0530,1637 41.1,18.081,-68.711,30.8,3.3,2.2
2019 0530,1705 47.1,19.022,-70.151,11.8,3.4,2.2
2019 0530,1706 10.9,18.977,-70.165,7.4,2.6,1.8
2019 0531,0158  1.7,19.652,-70.856,63.1,2.9,1.8
2019 0531,0318 17.5,19.451,-66.625,22.6,3.4,1.9
2019 0531,0910 10.2,17.984,-71.411,7.6,3,1.9
2019 0531,1332  2.4,20.119,-70.957,13,3.3,2.6
2019 0531,1657 49.1,18.999,-70.165,11.4,2.5,2.1
2019 0531,2018 33.2,18.616,-68.902,117.5,3.1,2.8
2019 0601,0919 26.7,18.228,-67.766,23.5,3.4,2.7
2019 0601,1151 57.5,19.166,-69.742,27.8,2.6,2.4
2019 0601,1427 49.1,18.33,-68.368,181.9,3.2,2.5
2019 0601,1803 37.1,19.527,-70.943,23.9,2.7,2.3
2019 0601,2122 59.2,24.674,-67.101,12.1,4.6,4.3
2019 0602,2154  1.6,19.467,-72.768,15,3.2,2.3
2019 0603,426 37.3,18.133,-67.642,31,3,1.7
2019 0603,1023 40.9,18.314,-69.119,103.1,3,2.6
2019 0603,1603 14.0,19.612,-70.531,22.9,3.2,2.6
2019 0603,1937 18.1,19.017,-67.848,10.8,3.5,2.3
2019 0603,1940 53.6,18.48,-72.537,23,3.2,1.7
2019 0604,0421 47.7,18.043,-69.012,152,3,1.9
2019 0604,0634 17.4,18.53,-69.36,97.4,2.7,1.7
2019 0604,0654 26.9,19.961,-70.346,19.2,3,1.9
2019 0604,1158 37.2,20.125,-72.667,33.3,3.6,3
2019 0604,2322 17.4,20.139,-70.76,10.9,3.4,2.2
2019 0605,0206 43.6,18.825,-68.823,50.1,3.2,3
2019 0605,0251 33.2,19.132,-68.086,22.8,3.2,2.1
2019 0605,0639 26.3,18.685,-71.613,23,2.7,1.7
2019 0605,1054 32.4,18.823,-70.329,114.8,2.9,2.6
2019 0605,2225 23.5,18.695,-66.955,56.9,3.1,
2019 0606,0459 46.6,19.114,-69.079,22,3.4,2.5
2019 0606,0525 38.9,18.699,-67.348,19.5,3.3,2.1
2019 0606,0633 46.0,20.083,-70.172,29.4,3.5,2.7
2019 0606,0701 59.6,18.789,-70.201,97.4,3,2.5
2019 0606,0821  3.4,19.603,-70.115,17.3,3.2,2.2
2019 0606,0928  2.9,19.008,-70.339,89.3,3,2.3
2019 0606,1027 23.1,18.535,-68.703,124.8,3.7,4.2
2019 0606,1637 55.8,18.729,-70.08,12.1,2.5,1.5
2019 0606,2032 43.2,19.003,-70.361,12.1,2.8,1.9
2019 0606,2303 59.9,20.087,-70.316,76.7,3.3,2.1
2019 0606,2347 13.7,18.516,-69.135,143.4,3.7,3.7
2019 0607,0009  2.4,17.845,-68.567,11.2,3.3,2
2019 0607,0015 46.4,20.119,-70.376,21.2,3.4,2.1
2019 0607,0026 53.3,18.183,-68.289,200.3,3.5,2.1
2019 0607,0047 24.9,18.367,-69.597,106.8,3.3,1.9
2019 0607,0331  1.1,19.396,-68.1,21.8,3.2,1.9
2019 0607,1931  2.9,19.656,-68.004,22.9,3.3,2.1
2019 0607,1938  0.0,,,,,
2019 0607,2001 18.2,18.881,-70.839,5.2,2.4,1.5
2019 0607,2020 11.3,17.979,-65.415,10.7,3.3,2.5
2019 0607,2029 59.1,19.985,-71.974,0,3.4,2.1
2019 0607,2029  0.0,,,,,
2019 0608,0115 55.6,18.591,-66.594,18.2,3.3,
2019 0608,0907 55.9,18.324,-68.981,127.8,3.4,2.1
2019 0608,1018 11.6,18.83,-70.286,97.3,3.5,3.6
2019 0608,2258 14.6,19.745,-70.64,20.9,3.2,2.3
2019 0608,2356  0.0,,,,,
2019 0609,0101 23.5,18.628,-68.73,120.7,3.4,2.8
2019 0609,0545 31.6,19.98,-71.646,15,3.4,2.3
2019 0609,0846 55.2,18.31,-70.486,14.8,2.7,1.6
2019 0609,1245 51.2,18.015,-69.197,110.3,3.4,2.3
2019 0609,1721 18.1,18.482,-69.152,101.2,3.4,2.7
2019 0609,1850 10.1,18.553,-70.594,0.1,2.9,1.6
2019 0610,0128 22.4,18.46,-70.613,12.2,3.3,3.3
2019 0610,0138  6.7,19.193,-69.069,27.9,2.9,1.7
2019 0610,0321  6.8,20.102,-70.322,22.9,3.2,2.2
2019 0610,0341 26.6,18.997,-70.669,30.8,3.3,3.5
2019 0610,0422 12.2,18.25,-70.841,26.9,3,1.6
2019 0610,0642 53.2,18.56,-70.355,12.6,2.3,1.3
2019 0610,0648 58.6,19.336,-68.059,31.1,4.2,4.5
2019 0610,0859 33.3,19.422,-68.093,22.7,3.5,2.9
2019 0610,1004 29.3,19.306,-68.083,20.8,3.5,2.4
2019 0610,1038 17.1,19.412,-69.586,21.2,3.2,2.3
2019 0610,13 3  0.0,,,,,
2019 0610,1423 39.0,19.297,-68.109,6.6,3.3,2.2
2019 0610,1443 57.5,18.65,-68.839,131,3.2,2.6
2019 0610,1946 57.5,18.612,-73.517,20.2,3.5,2.5
2019 0611,140 47.4,19.314,-68.078,5.7,3.4,2.5
2019 0611,0558 36.8,19.426,-68.124,23.1,3.3,2.1
2019 0611,1514 22.7,19.926,-72.152,38,3.2,2.4
2019 0611,1737 44.0,18.475,-68.78,116.5,3.1,2.6
2019 0611,2315 38.1,19.187,-69.892,0.3,3,1.9
2019 0611,2332 47.2,18.638,-72.877,0,3.5,2.1
2019 0612,0152 48.0,18.895,-70.717,81.4,3,2.8
2019 0612,0211 54.4,18.938,-69.754,78.1,2.9,2
2019 0612,0412 17.7,19.725,-68.01,59.5,3.3,2.3
2019 0612,0421 36.3,18.603,-71.86,54.6,2.9,1.9
2019 0612,0724 24.9,19.476,-69.809,16.5,3.2,2.7
2019 0612,0849 54.3,19.374,-68.155,22.7,3.3,1.9
2019 0612,0848 31.2,19.355,-68.127,11.5,3.1,1.6
2019 0612,2049 52.4,17.886,-66.212,19.3,3.2,2.4
2019 0613,413 11.4,18.216,-67.636,123.3,3.1,2.2
2019 0613,0413 12.7,18.214,-67.414,127.4,3.2,2.3
2019 0613,0956  6.8,18.827,-66.589,37.1,3,1.8
2019 0613,1655  8.2,18.915,-70.152,12.1,2.8,2.1
2019 0613,1705 22.9,19.014,-70.128,10,3,1.6
2019 0613,1715 19.3,18.462,-68.919,100.4,3.9,4
2019 0614,0047 34.4,19.967,-70.318,18.3,3.2,2.5
2019 0614,1400 40.0,19.077,-67.165,22.9,3.3,2
2019 0614,1606 39.3,17.692,-70.605,31.4,3.1,2.5
2019 0614,1611 43.2,20.036,-70.237,21.1,3.4,2.1
2019 0614,1627 23.2,19.162,-69.786,19.9,2.6,2
2019 0614,1650 57.8,19.155,-69.937,23.2,2.1,1.8
2019 0615,0657 27.4,18.6,-70.524,18.8,2.7,1.9
2019 0615,1941  7.5,17.899,-68.426,176.7,3.4,3
2019 0616,0150 35.2,19.001,-70.464,93.2,3,2.4
2019 0616,312 29.2,19.333,-69.883,12,3.1,2.1
2019 0616,1043  4.6,19.97,-68.189,51.7,3.3,2.4
2019 0616,1217 25.0,19.302,-69.904,17.3,2.9,2.3
2019 0616,1727 20.7,19.399,-69.388,73.3,3.2,2.9
2019 0616,1936 10.3,18.421,-69.172,102.4,3.3,2.7
2019 0616,2226 52.5,18.526,-69.366,131.1,3.2,2.4
2019 0617,0108 37.2,18.089,-68.433,120,3.4,2.5
2019 0617,0512 56.5,19.048,-69.751,21.8,2.9,1.8
2019 0617,1208 46.7,18.568,-68.966,119.6,3.7,3.5
2019 0617,1420  8.0,19.126,-69.802,11.5,2.5,1.9
2019 0617,1623  3.7,18.694,-69.211,97.9,3,2.4
2019 0617,1627 56.4,19.075,-69.612,95.4,3.1,2.5
2019 0617,1633 13.7,18.897,-70.133,17,2.8,1.8
2019 0617,1807 52.3,19.887,-75.579,31.7,3.2,2.3
2019 0617,2029  9.6,19.138,-70.373,85.7,2.8,2.2
2019 0618,0101 40.2,18.612,-69.403,93.5,3.1,2.5
2019 0618,0118  8.7,18.426,-69.408,92.4,3.2,2.2
2019 0618,0518 17.2,19.365,-67.562,9,3.2,2.4
2019 0618,0619  1.5,19.046,-67.984,9.5,3.2,2.2
2019 0618,0942 16.0,20.092,-70.138,11.8,3.1,2.7
2019 0618,1658 55.9,19.452,-69.53,22.6,3,2.2
2019 0618,1807 30.5,19.311,-68.083,22.5,3.5,2
2019 0618,1852  5.3,18.606,-68.142,65.8,3.2,2.2
2019 0618,1940 57.1,18.699,-67.491,28,3.6,3.4
2019 0618,2133  0.1,19.608,-69.957,18.8,3.4,3.7
2019 0618,2221 29.3,19.308,-67.708,15,3.4,2.2
2019 0618,2234 38.0,19.306,-67.734,7.9,3.5,2.7
2019 0619,0112 22.3,18.87,-71.076,23,3.1,1.8
2019 0619,0134 59.3,18.68,-70.347,104.9,3.2,2.5
2019 0619,0759  2.0,18.991,-67.87,22.9,3.3,2.7
2019 0619,0817 53.0,18.004,-65.674,22.9,2.8,2.2
2019 0619,0818 50.1,17.92,-65.685,24.9,3.2,2.4
2019 0619,1133  2.7,18.697,-69.667,107.1,2.7,2.4
2019 0619,1253 58.7,19.043,-69.654,88.1,2.9,2.5
2019 0619,2051 38.2,20.065,-70.174,31.1,3.5,2.3
2019 0619,2135 49.2,19.482,-69.885,115.4,3.1,2.7
2019 0620,0119 23.0,18.999,-68.039,22.9,3.4,2
2019 0620,0526  4.1,18.809,-69.266,123.9,3.5,3.2
2019 0620,0732 19.6,18.881,-67.183,23,3.4,2.5
2019 0620,0805 51.9,17.924,-68.765,66.9,2.9,2.4
2019 0620,0830 33.2,20,-70.174,20.2,3.1,2.4
2019 0620,0950  9.3,18.679,-72.441,143.8,3.4,2.9
2019 0620,1907 49.6,18.07,-67.133,13.6,2.4,1.7
2019 0620,2008 18.5,17.822,-69.112,80.3,3.3,2.4
2019 0620,2054  0.0,,,,,
2019 0621,0643 37.2,19.13,-69.318,17.6,2.6,1.5
2019 0621,2155  2.3,18.825,-65.129,31.1,3.5,
2019 0621,2228 38.3,18.187,-70.362,80.3,3.1,2.2
2019 0621,2324 24.2,19.295,-68.033,9.1,3.4,2
2019 0622,0131 45.3,19.58,-68.029,19.8,3.6,2.1
2019 0622,0250 44.4,19.03,-69.19,16.7,2.2,1.5
2019 0622,0254 40.9,19.073,-70.705,148.5,3.2,1.9
2019 0622,0326  2.1,19.032,-69.208,9,2.8,2.4
2019 0622,0356  6.5,19.327,-68.103,22.8,3.7,3.8
2019 0622,0609 49.1,19.51,-70.307,22.7,2.9,2.1
2019 0622,0611 16.1,19.496,-70.352,22.6,3.2,2.7
2019 0622,0910 21.2,19.348,-67.492,22.6,3.4,2.1
2019 0622,1501 15.8,19.175,-68.788,23,2.5,1.8
2019 0622,1655 38.7,19.105,-70.155,7.2,2.8,2
2019 0622,1820 19.9,19.276,-67.462,12.1,3.1,2.1
2019 0622,2202 59.7,19.101,-66.661,42.8,2.9,1.8
2019 0622,2216 11.2,19.725,-70.766,14.8,3.1,2.4
2019 0622,2354  0.3,17.977,-69.192,108.6,3.3,2.2
2019 0623,0112 23.9,20.15,-70.675,22.4,3.3,2.5
2019 0623,0456 39.9,19.153,-68.374,18.9,3.2,2.1
2019 0623,0607  4.2,18.162,-69.579,29.1,2.9,2
2019 0623,0908 44.8,18.926,-68.266,12,3.4,2.4
2019 0623,1129 12.3,17.923,-69.055,100.4,3.5,2.3
2019 0623,1958 45.7,18.582,-68.931,121.6,4,4.1
2019 0623,2210 14.0,18.719,-70.354,101.1,3.3,2.5
2019 0623,2313 29.8,19.03,-67.63,12,3.4,1.9
2019 0624,0046 42.4,19.57,-70.129,19.5,3.3,2.5
2019 0624,0053 26.8,18.808,-67.63,31,3.2,1.7
2019 0624,0126 51.0,18.039,-69.081,112.9,3.4,2.2
2019 0624,0126 53.0,18.256,-69.778,95.1,3.1,2.2
2019 0624,0257  5.6,19.056,-68.998,31,3.4,2.1
2019 0624,0312 55.8,18.019,-68.781,242.8,3.7,
2019 0624,0342 11.5,19.735,-68.84,22.5,3.1,2.7
2019 0624,0551 38.2,18.226,-67.13,15,,
2019 0624,0652 24.5,19.226,-66.532,22,3.5,
2019 0624,0745  2.6,18.303,-69.052,116.5,3.3,2
2019 0624,1113 50.9,19.118,-69.62,10.5,2.8,1.9
2019 0624,1803 31.6,19.912,-72.441,9,3.2,2.4
2019 0624,1803 32.6,19.793,-72.478,24.1,3.4,2.4
2019 0624,1828 11.8,18.398,-68.123,191.9,3.7,2.8
2019 0625,0738  6.6,19.212,-68.382,22.1,3.4,2
2019 0625,1720 44.2,18.327,-72.437,31,3.4,2.8
2019 0625,1743 53.6,19.413,-72.04,31,3.2,2.2
2019 0626,0028 36.5,18.757,-69.424,96.1,3.3,2.8
2019 0626,0043  9.9,17.805,-68.119,136.3,3.5,2.5
2019 0626,0359  2.3,18.645,-68.679,128.1,2.7,2.2
2019 0626,0640 35.8,18.472,-70.812,31,2.7,1.7
2019 0626,1020 28.5,20.09,-70.526,26.2,3.2,2
2019 0626,1720 19.0,18.707,-70.343,86.5,3.1,1.8
2019 0626,2128 47.4,20.035,-71.048,11,2.9,2
2019 0626,2128 45.5,20.054,-70.926,21,2.9,2.2
2019 0626,2342 32.7,19.973,-70.923,12.2,3.1,2.2
2019 0627,0235 16.3,19.218,-68.012,15,3.3,1.9
2019 0627,0531 27.9,18.047,-67.982,85.5,3.1,1.9
2019 0627,1449 19.4,19.119,-70.467,123,3.2,2.7
2019 0627,1815 45.5,18.202,-68.513,110.7,3.4,2.3
2019 0627,2212 54.4,19.086,-69.297,26.8,3.3,2.9
2019 0628,0337 54.2,18.853,-67.274,56.6,3.1,1.7
2019 0628,1804 38.7,19.749,-70.135,12.1,3.2,2.7
2019 0629,0057 11.7,19.37,-67.634,11.4,3.3,2.3
2019 0629,0309 59.6,18.472,-72.138,14.8,2.7,1.9
2019 0629,0849 28.5,18.835,-70.262,123.4,2.7,2.6
2019 0629,1932 36.6,18.47,-72.009,25.2,3.3,3
2019 0629,2127  0.0,,,,,
2019 0630,0022 55.1,17.835,-66.235,14.6,2.8,
2019 0630,0637 54.7,18.547,-68.841,128.5,4.1,4.5
2019 0630,0854 19.5,19.194,-67.586,12.1,3.2,2.1
2019 0630,1334 16.9,19.57,-70.695,23.8,3,2.4
2019 0630,1409  6.0,19.592,-70.64,23.1,3.3,2.8
2019 0630,2105  9.3,19.646,-69.844,15,3.7,3.4
2019 0630,2300 38.6,18.27,-73.602,18,3.5,2.6
2019 0630,2301 20.5,18.567,-72.035,23.2,2.9,1.7
2019 0630,2351 20.0,17.665,-68.58,110,3.4,2.5
2019 0701,0241 25.6,18.701,-70.386,95.1,3.2,2.4
2019 0701,0306 49.9,17.889,-70.929,30.9,2.7,2
2019 0701,0442 49.4,18.827,-71.526,46.8,2.9,1.5
2019 0701,0953 56.4,18.969,-70.341,80.1,3.2,3
2019 0701,1221 37.6,18.504,-68.648,130.8,3.6,3.4
2019 0701,1558  8.8,19.827,-71.126,31,3,2.2
2019 0701,1624 35.8,19.615,-66.136,31.2,3.5,2.2
2019 0701,1944 49.0,18.152,-65.227,0.1,3.6,2.6
2019 0701,2221  7.4,18.229,-72.277,13.3,3.2,2.1
2019 0701,2345 55.9,18.19,-66.886,23.9,2.9,
2019 0702,0938 19.6,18.767,-70.205,10,2.7,1.5
2019 0702,1036 40.4,19.809,-73.524,23,3.7,2.4
2019 0702,1206 48.2,19.493,-70.733,246.5,3.6,2.5
2019 0702,1250 25.5,19.776,-73.045,20.4,3.4,2.4
2019 0702,1925 48.1,18.762,-69.681,114,3.1,2.3
2019 0702,2108 12.5,18.609,-71.197,22.9,2.8,2
2019 0702,2113  3.9,19.079,-71.41,67.1,2.7,1.7
2019 0703,0406 10.5,17.847,-66.225,15,2.8,1.7
2019 0703,0821 32.5,18.337,-68.794,167.3,3.4,2.4
2019 0703,0838 45.2,19.725,-65.179,31.2,3.9,2.8
2019 0703,1116 43.8,18.121,-67.107,135.5,3.3,2.4
2019 0703,1151 55.6,19.188,-70.008,11.2,3.1,2.5
2019 0704,0101 22.1,18.88,-69.737,107.4,3.4,3.5
2019 0704,0301 31.7,18.487,-70.335,25.6,3.2,2.6
2019 0704,0605 38.4,18.916,-67.976,15,3.5,2.2
2019 0704,0651 56.9,19.688,-70.603,22.5,3.3,2.5
2019 0704,1938  6.7,18.622,-71.009,195.9,3.1,
2019 0704,1950 49.3,17.909,-69.269,0,3.4,2.5
2019 0705,0106  8.5,18.678,-72.603,10.7,3.1,2.2
2019 0705,0322 28.0,19.268,-68.235,48,3.4,2.3
2019 0705,0831 13.4,18.858,-70.292,94,3.2,2.5
2019 0705,1057 29.0,19.058,-69.475,18.5,3.4,2.4
2019 0706,0055 38.6,17.991,-66.445,22.1,3,1.7
2019 0706,1705  3.8,18.508,-69.322,0.2,2.5,
2019 0706,17 8 38.8,18.532,-70.621,23,3.6,3.6
2019 0706,1939 29.6,19.63,-70.001,12,2.9,2.3
2019 0706,2322 13.2,17.892,-66.309,18.1,2.5,1.8
2019 0707,0111 15.4,19.466,-70.407,11.9,3.5,2.6
2019 0707,0421 12.8,18.864,-66.697,30.8,3.1,1.7
2019 0707,1022  5.4,19.748,-71.667,7.6,2.8,1.9
2019 0707,1045 28.8,18.973,-69.062,109,3.7,2.5
2019 0707,1301 23.0,18.138,-66.923,12.1,2.3,
2019 0707,1315 18.0,18.342,-72.251,21.7,3.1,2.4
2019 0707,1701  4.4,19.205,-68.325,22.4,3.3,2.2
2019 0707,1701  5.2,19.398,-68.064,0,3.4,2
2019 0707,1713  6.4,18.509,-70.376,74.4,2.7,
2019 0707,1713 11.7,18.418,-70.719,15,2.7,1.6
2019 0707,2144 25.6,19.897,-70.453,0.4,3.4,1.9
2019 0708,0235  8.4,18.942,-67.747,12.1,3.2,1.8
2019 0708,0252 54.3,18.664,-69.063,116.4,3.5,2.4
2019 0708,0417  0.5,18.268,-69.272,88.9,3.3,2.3
2019 0708,0441  9.0,18.455,-70.441,12.1,2.8,1.8
2019 0708,0452 39.1,17.737,-68.571,96.6,3.2,2.2
2019 0708,0743 58.2,20.045,-73.661,48.6,3.7,3.2
2019 0708,1022 41.1,19.708,-71.643,11.9,3,2.3
2019 0708,2211 42.1,18.871,-67.205,30.6,2.9,1.6
2019 0709,0915 48.1,19.423,-66.312,31,3.3,2.3
2019 079,1644 52.6,18.119,-66.934,14.8,2.6,1.9
2019 0710,1039 52.4,18.601,-67.029,84.2,3.1,2.4
2019 0710,1839 27.9,18.432,-70.346,15.1,2.7,2.1
2019 0710,1840  2.4,18.531,-70.3,6.1,2.4,1.9
2019 0710,2033 33.8,18.534,-70.236,11.3,2.1,1.5
2019 0710,2033 28.0,18.458,-70.017,15,2.6,1.9
2019 0711,0118 29.5,18.525,-69.345,80,3.1,1.9
2019 0711,0259 18.6,19.498,-68.005,31,3.6,2.5
2019 0711,0406 39.9,18.976,-68.141,1,3.4,1.9
2019 0711,0703  9.4,18.948,-70.302,85.4,3,2.3
2019 0711,1745  6.4,19.895,-73.008,19,3.4,2.4
2019 0711,2354 37.0,19.722,-70.748,22.9,3.4,3.1
2019 0712,0859  4.8,18.19,-69.114,128.3,3.3,2.7
2019 0712,0949  8.1,19.044,-72.907,20.9,3.7,3
2019 0712,1005 42.3,19.977,-70.993,125.5,3.4,2.3
2019 0712,2210 13.1,19.544,-69.065,27.9,3.3,2.1
2019 0713,0417 19.4,18.642,-69.649,114.8,2.9,2.6
2019 0713,0747 35.8,19.12,-70.433,12.2,2.9,1.7
2019 0713,1406 12.6,18.57,-68.777,114.6,3.6,3.7
2019 0713,1643 57.9,18.989,-68.433,15,3.1,2
2019 0713,2011 18.1,17.958,-71.234,14.4,3,2.2
2019 0714,0702 29.4,19.077,-69.56,17,3.5,2.8
2019 0714,0834 33.5,18.43,-69.19,111.2,3.1,1.9
2019 0714,0941 29.5,18.619,-72.113,23.1,3.2,2.4
2019 0714,1048  0.7,19.471,-70.008,30.3,3.1,2.4
2019 0715,0459  0.8,17.779,-68.907,15,2.6,1.9
2019 0715,0723 48.4,18.905,-66.458,33.2,3.3,2.1
2019 0715,0931 12.5,19.23,-71.162,12.3,3.1,2.2
2019 0715,0932 27.5,18.805,-65.308,31.1,3.5,2.6
2019 0715,1016 49.2,19.544,-70.19,12.1,3.3,2.3
2019 0715,1206 32.5,18.716,-70.836,16.8,3,2
2019 0715,1239  5.2,17.824,-69.225,21.6,3.4,2.5
2019 0715,1857 23.8,19.146,-70.316,2.3,2.8,2.4
2019 0715,2115 39.4,20.02,-74.596,37.2,2.7,
2019 0715,2135 47.7,18.219,-72.909,22.6,3.2,3.2
2019 0715,2311 28.0,18.732,-65.454,54.8,3.4,
2019 0716,0219 43.0,18.998,-70.813,86.8,2.8,2.3
2019 0716,0413  1.9,18.074,-64.382,145.6,3.6,2.8
2019 0716,0530 30.6,19.871,-75.599,37.8,3.2,3.2
2019 0716,0648 42.4,18.304,-70.256,23.1,2.7,2.1
2019 0716,1152 45.7,17.838,-68.268,178.9,3.3,2.7
2019 0716,1645 55.7,18.992,-70.093,5.7,2.9,1.8
2019 0717,0921 21.6,18.649,-69.481,120.4,2.9,2.7
2019 0717,0943 40.3,18.011,-66.878,20,2.8,2.2
2019 0717,1334  5.3,19.055,-68.632,11.3,3.4,2.5
2019 0717,1555 27.5,18.192,-66.996,29.8,2.4,1.4
2019 0717,2018 46.5,18.98,-70.321,105,2.8,2.2
2019 0717,2112 13.5,18.713,-69.582,82.9,3,2.2
2019 0717,2335 25.9,19.897,-70.964,13.2,3,2
2019 0718,0612 45.2,18.173,-67.324,23.2,3.1,1.9
2019 0718,1151 50.8,18.155,-68.536,127.7,3.2,2.2
